From,To,Hour,Fuel,Value,Technology
DE,DK,25,Power,-0.0,Export
FR,DK,25,Power,-0.0,Export
NO,DK,25,Power,-0.0,Export
DK,DK,25,Power,-0.0,Export
UK,DK,25,Power,-0.0,Export
DE,UK,25,Power,-0.0,Export
FR,UK,25,Power,-0.0,Export
NO,UK,25,Power,-0.0,Export
DK,UK,25,Power,-0.0,Export
UK,UK,25,Power,-0.0,Export
DE,DE,26,Power,-0.0,Export
FR,DE,26,Power,-0.0,Export
NO,DE,26,Power,-0.0,Export
DK,DE,26,Power,-0.0,Export
UK,DE,26,Power,-0.0,Export
DE,FR,26,Power,10.459184340509205,Export
FR,FR,26,Power,-0.0,Export
NO,FR,26,Power,-0.0,Export
DK,FR,26,Power,-0.0,Export
UK,FR,26,Power,6.104850812708265,Export
DE,NO,26,Power,-0.0,Export
FR,NO,26,Power,-0.0,Export
NO,NO,26,Power,-0.0,Export
DK,NO,26,Power,-0.0,Export
UK,NO,26,Power,-0.0,Export
DE,DK,26,Power,-0.0,Export
FR,DK,26,Power,-0.0,Export
NO,DK,26,Power,-0.0,Export
DK,DK,26,Power,-0.0,Export
UK,DK,26,Power,-0.0,Export
DE,UK,26,Power,-0.0,Export
FR,UK,26,Power,-0.0,Export
NO,UK,26,Power,-0.0,Export
DK,UK,26,Power,-0.0,Export
UK,UK,26,Power,-0.0,Export
DE,DE,27,Power,-0.0,Export
FR,DE,27,Power,-0.0,Export
NO,DE,27,Power,-0.0,Export
DK,DE,27,Power,4.230084311666667,Export
UK,DE,27,Power,-0.0,Export
DE,FR,27,Power,4.060543030391769,Export
FR,FR,27,Power,-0.0,Export
NO,FR,27,Power,-0.0,Export
DK,FR,27,Power,-0.0,Export
UK,FR,27,Power,6.104850812708265,Export
DE,NO,27,Power,-0.0,Export
FR,NO,27,Power,-0.0,Export
NO,NO,27,Power,-0.0,Export
DK,NO,27,Power,-0.0,Export
UK,NO,27,Power,-0.0,Export
DE,DK,27,Power,-0.0,Export
FR,DK,27,Power,-0.0,Export
NO,DK,27,Power,-0.0,Export
DK,DK,27,Power,-0.0,Export
UK,DK,27,Power,-0.0,Export
DE,UK,27,Power,-0.0,Export
FR,UK,27,Power,-0.0,Export
NO,UK,27,Power,-0.0,Export
DK,UK,27,Power,-0.0,Export
UK,UK,27,Power,-0.0,Export
DE,DE,28,Power,-0.0,Export
FR,DE,28,Power,-0.0,Export
NO,DE,28,Power,-0.0,Export
DK,DE,28,Power,-0.0,Export
UK,DE,28,Power,-0.0,Export
DE,FR,28,Power,-0.0,Export
FR,FR,28,Power,-0.0,Export
NO,FR,28,Power,-0.0,Export
DK,FR,28,Power,-0.0,Export
UK,FR,28,Power,-0.0,Export
DE,NO,28,Power,-0.0,Export
FR,NO,28,Power,-0.0,Export
NO,NO,28,Power,-0.0,Export
DK,NO,28,Power,-0.0,Export
UK,NO,28,Power,-0.0,Export
DE,DK,28,Power,-0.0,Export
FR,DK,28,Power,-0.0,Export
NO,DK,28,Power,-0.0,Export
DK,DK,28,Power,-0.0,Export
UK,DK,28,Power,-0.0,Export
DE,UK,28,Power,-0.0,Export
FR,UK,28,Power,-0.0,Export
NO,UK,28,Power,-0.0,Export
DK,UK,28,Power,-0.0,Export
UK,UK,28,Power,-0.0,Export
DE,DE,29,Power,-0.0,Export
FR,DE,29,Power,-0.0,Export
NO,DE,29,Power,-0.0,Export
DK,DE,29,Power,-0.0,Export
UK,DE,29,Power,-0.0,Export
DE,FR,29,Power,-0.0,Export
FR,FR,29,Power,-0.0,Export
NO,FR,29,Power,-0.0,Export
DK,FR,29,Power,-0.0,Export
UK,FR,29,Power,-0.0,Export
DE,NO,29,Power,-0.0,Export
FR,NO,29,Power,-0.0,Export
NO,NO,29,Power,-0.0,Export
DK,NO,29,Power,-0.0,Export
UK,NO,29,Power,-0.0,Export
DE,DK,29,Power,-0.0,Export
FR,DK,29,Power,-0.0,Export
NO,DK,29,Power,-0.0,Export
DK,DK,29,Power,-0.0,Export
